"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Emerson","Fittipaldi",2,"Lotus Ford","1",2,96,9,"1:56:18.220",NA,NA,"1:11.220",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Francois","Cevert",8,"Tyrrell Ford","2",6,96,6,"1:56:22.910","4.690","4.69000005722046",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Jackie","Stewart",6,"Tyrrell Ford","3",4,96,4,"1:56:51.410","33.190","28.5",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Jacky","Ickx",18,"Ferrari","4",3,96,3,"1:57:00.789","42.570","9.37899994850159",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Denny","Hulme",14,"McLaren Ford","5",8,95,2,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Wilson","Fittipaldi",12,"Brabham Ford","6",12,95,1,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Clay","Regazzoni",32,"BRM","7",1,93,0,"3","3","3",NA,NA,"1:10.540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Peter","Revson",16,"McLaren Ford","8",11,92,0,"4","4","4",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Arturo","Merzario",20,"Ferrari","9",14,92,0,"4","4","4",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Mike","Beuttler",22,"March Ford","10",18,90,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Jean-Pierre","Jarier",24,"March Ford","NC",17,84,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Jean-Pierre","Beltoise",30,"BRM","NC",7,79,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Howden","Ganley",38,"Iso Marlboro Ford","NC",19,79,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Ronnie","Peterson",4,"Lotus Ford","NC",5,66,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Niki","Lauda",34,"BRM","NC",13,66,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Carlos","Reutemann",10,"Brabham Ford","NC",9,16,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Carlos","Pace",28,"Surtees Ford","NC",15,10,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Mike","Hailwood",26,"Surtees Ford","NC",10,10,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1973,"28 Jan 1973","Nanni","Galli",36,"Iso Marlboro Ford","NC",16,0,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo de Interlagos, Brazil",1973,"11 Feb 1973","Emerson","Fittipaldi",1,"Lotus Ford","1",2,40,9,"1:43:55.600",NA,NA,"2:35.000",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo de Interlagos, Brazil",1973,"11 Feb 1973","Jackie","Stewart",3,"Tyrrell Ford","2",8,40,6,"1:44:09.099","13.500","13.4990000724792",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo de Interlagos, Brazil",1973,"11 Feb 1973","Denny","Hulme",7,"McLaren Ford","3",5,40,4,"1:45:42.000","106.400","1.54835000038147","2:35.000",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo de Interlagos, Brazil",1973,"11 Feb 1973","Arturo","Merzario",10,"Ferrari","4",17,39,3,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo de Interlagos, Brazil",1973,"11 Feb 1973","Jacky","Ickx",9,"Ferrari","5",3,39,2,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo de Interlagos, Brazil",1973,"11 Feb 1973","Clay","Regazzoni",14,"BRM","6",4,39,1,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
